Category,Question,Solution,Interviewer,Company
DSA,"Given a bst perform any ll,lr,rr,rl operations and make it balance tree",,,7 Vals
DSA,"A nested list is given like [1,[1,2],4,[[1],[2]],[[[[3],4],5],6,7]] flat s list like 1,1,2,4,1,2,3,4,5,6,7",,,7 Vals
DSA,"Difference between vector, array, linkedlist",,,7 Vals
DSA,What are vectors,,,7 Vals
DSA,Is vector an arraylist?,,,7 Vals
DSA,There are n sorted arrays find smallest common value,,,7 Vals
DSA,Find distance between two nodes in bst,,,7 Vals
DSA,Bst vs binary tree,,,7 Vals
DSA,Given an array sorted make a bst which is balanced (use binary search algorithm),,,7 Vals
DSA,Linkedlist vs array,,,Arbisoft
DSA,List or tuple ma difference bss ye sb poocha,,,Arbisoft
DSA,Time complexity and space complexity of code,,,Arbisoft
DSA,Space complexity of the factorial function,,,Arbisoft
DSA,"Why linkedlist?
searching in array vs linkedlist. 
insertion of element in middle of linkedlist. any benefit over array?
time complexity?
arrays benefits and drawbacks?
divide and conquer",,,Arbisoft
DSA,Recursion vs loop,,,Arbisoft
DSA,Dfs psuedocode  and complexity,,,Arrivy
DSA,Zig zag traversal,,,Arrivy
DSA,Array vs linked list,,,Arrivy
DSA,Binary search implementation,,,Arrivy
DSA,Level by traversal,,,Arrivy
DSA,Level order traversal with new line at each level,,,Arrivy
DSA,Array vs linkedlist,,,Arrivy
DSA,Hashing,,,Arrivy
DSA,Deep copy shallow copy,,,Arrivy
DSA,Hash function,,,Arrivy
DSA,What is hashmap/ hash func/ hashing. why hashing?,,,Arrivy
DSA,Sorting algos time complexities and stuff,,,Ashlar
DSA,What is time complexity and how does it affect the execution,,,Ashlar
DSA,Diagrammatic flow of sorting algos,,,Ashlar
DSA,A bit of dsa,,,Ashlar
DSA,"Math ratio, probability related some english questions opposite/synonyms/paragraph",,,Astera
DSA,Paranthesis mismatch check without using stack. i used linkedlist.,,,BinaryBrix
DSA,Jagged array,,,BinaryBrix
DSA,Queue implementation using stack,,,BinaryBrix
DSA,In singly linked linkedlist swap adjacent nodes like 1->2->3->4->5 to 2->1->4->3->5,,,BinaryBrix
DSA,Reversal of linked list,,,Blackstack
DSA,Reverse an array without using any extra memory,,,Blackstack
DSA,Create queue using stacks,,,Blackstack
DSA,Make s 2d array in 1d using recursion,,,Blackstack
DSA,Linklist vs array,,,Blackstack
DSA,Queue and stack,,,Blackstack
DSA,Which one is better approach using array or linklist ?,,,Blackstack
DSA,"Sorting alogrithms, name of any 4 algorithms, working of selection sort",,,BrainX
DSA,Bfs and dfs on trees and graphs,,,BrainX
DSA,"Double linked list, bst, pre vs post order traversal",,,BrainX
DSA,Find dfs and bfs of binary search tree,,,BrainX
DSA,Sorting algo complexity,,,BrainX
DSA,Find if sum of array is 10 in o(n),,,BrainX
DSA,Find second largest element in an array,,,BrainX
DSA,Reverse linked list,,,BrainX
DSA,Fibonoci series using recursion,,,BrainX
DSA,Find two most frequently occuring elements in non unique sorted array,,,BrainX
DSA,How to shift array towards right,,,BrainX
DSA,Find power of number using recursion,,,BrainX
DSA,I. return a number. not an array or string. otherwise your answer may,,,CQTechnologies
DSA,I. there will always be at least 3 numbers in an array.,,,CQTechnologies
DSA,"Given an array of undetermined length, find the largest sum possible for any 3",,,CQTechnologies
DSA,"I. the returned array should be in ascending order. e.g [3,4,7,9]. not",,,CQTechnologies
DSA,"Any numbers, and any gaps between numbers in t array of numbers.",,,CQTechnologies
DSA,"But your function should be able to handle any input array of any length,",,,CQTechnologies
DSA,"B. expected result: return: array of missing numbers e.g [4] or [2,5]",,,CQTechnologies
DSA,"The expected returned array should be [3,4].",,,CQTechnologies
DSA,Amount of numbers in any sequence in the array.,,,CQTechnologies
DSA,Write a program t finds and returns missing numbers in an array. there can be any,,,CQTechnologies
DSA,Or any other search engine or external source.,,,CQTechnologies
DSA,"Q2) 

we will call a sequence of integers a spike if they first increase (strictly) and  decrease (also strictly, including the last element of the increasing part). for example (4, 5, 7, 6, 3, 2) is a spike, but (1, 1, 5, 4, 3) and (1, 4, 3, 5) are not. note t the increasing and decreasing parts always intersect, e.g.: for spike (3, 5, 2) sequence (3, 5) is an increasing part and sequence (5, 2) is a decreasing part, and for spike (2) sequence (2) is both an increasing and a decreasing part. your are given an array a of n integers.

your task is to calculate the length of the longest possible spike, which can be created from numbers from array a. note t you are not supposed to find the longest spike as a sub-sequence of a, but rather choose some numbers from a and reorder them to create the longest spike. write a function: def solution(a) which, given an array a of integers of length n, returns the length of the longest spike which can be created from the numbers from a. examples: 1. given a = [1, 2], your  function should return 2, because (1, 2) is already a spike. 2. given a = [2, 5, 3, 2, 4, 1], your function should return 6, because we can create the following spike of length 6: (2, 4, 5, 3, 2, 1). 3. given a = [2, 3, 3, 2, 2, 2, 1], your function should return 4, because we can create the following spike of length 4: (2, 3, 2, 1) and we cannot create any longer spike. note t increasing and decreasing parts should be strictly increasing/decreasing and they always intersect. write an efficient algorithm for the following assumptions: n is an integer win the range [1..100,000]; each element of array a is an integer win the range [1..1,000,000].",,,Careem Codility
DSA,Does doubly linked list makes any difference?,,,Celestial Technology
DSA,Now instead of array you have a linked list.,,,Celestial Technology
DSA,You have an array and millions of numbers in t array. give an efficient algo to find a specific number in t array.,,,Celestial Technology
DSA,Is trh kai questions the bs,,,Celestial Technology
HR/Behavioral,Apny ap ko kidhr dekhty hoo future mai,,,Celestial Technology
HR/Behavioral,Next study krni hai ya nhi.,,,Celestial Technology
HR/Behavioral,Family mai kn kn hai,,,Celestial Technology
HR/Behavioral,Mujy ab srf itna he yd hai,,,Celestial Technology
DSA,What are the advantages of arrays?( easier to store elements of same data type),,,Cinnova
DSA,Elements in an array are accessed _____________ (randomly),,,Cinnova
DSA,Which of the following algorithm implementations is similar to t of an insertion sort?(binary heap),,,Cinnova
DSA,"Given an array of element 5, 7, 9, 1, 3, 10, 8, 4. which of the following are the correct sequences of elements after inserting all the elements in a min-heap/max-heap? (same type of question with different values)",,,Cinnova
DSA,Return sum of even numbers in an array,, ,Cinnova
